Artifact Name,Date,Culture/Region,Material,Dimensions,Category/Type,Object Number,Description,Artifact Image URL,Authenticity
Sword Guard (Tsuba),ca. 3rd century–538,Japanese,Iron,H. 2 1/2 in. (6.4 cm); W. 2 1/8 in. (5.4 cm),Sword Furniture-Tsuba,36.120.216,Atsubais a sword guard and part of a sword mounting. It is mounted between the sword’s blade and grip to protect the user’s hands.,https://collectionapi.metmuseum.org/api/collection/v1/iiif/30009/1357774/main-image,Authentic
Sword Guard (Tsuba),ca. 1615–1868,Japanese,"Copper-gold alloy (shakudō), gold, enameled cloisonné (shippō), copper",H. 2 15/16 in. (7.5 cm); W. 2 11/16 in. (6.8 cm); thickness 1/4 in. (0.6 cm); Wt. 6.9 oz. (195.6 g),Sword Furniture-Tsuba,43.120.743,Atsubais a sword guard and part of a sword mounting. It is mounted between the sword’s blade and grip to protect the user’s hands.,https://collectionapi.metmuseum.org/api/collection/v1/iiif/28627/1349834/restricted,Authentic
Badge or Harness Pendant,14th century,Spanish,"Copper, gold, enamel",Diam. 2 1/4 in. (5.7 cm); Wt. 1 oz. (28.3 g),Miscellaneous-Badges,04.3.413,"Heraldry, or coat-of-arms, were vitally important in Europe throughout the Middle Ages and the Renaissance. Heraldic emblems were used to identify noble families, cities, regions, and even countries. In addition to being displayed on shields and flags, heraldry was incorporated into architectural decoration on the interior and the exterior of buildings, on furniture, works of art, clothing, and horse equipment. Harness pendants, like this example, would have been attached to a headstall, bridle, or other straps making up the tack of a horse ridden by a nobleman or noblewoman, or a member of their household. Many harness pendants also have decoration that is simply ornamental, or have symbols that are not specifically heraldic in nature.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/25532/1622802/main-image,Authentic
Sword,1375–1450,Western European,"Steel, iron, wood",L. 37 11/16 in. (96.6 cm); L. of blade 29 1/4 in. (74.3 cm); W. 8 1/8 in. (20.2 cm); Wt. 2 lb. 13 oz. (1275.7 g),Swords,32.75.226,"This artifact, named 'Sword', was crafted using Steel, iron, wood. It originates from the Western European culture. This piece dates back to 1375–1450. It belongs to the category of Swords.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/32238/1908326/main-image,Authentic
Halberd,early 16th century,German,"Steel, wood (ash)",L. 76 5/8 in. (194.7 cm); L. of head 22 in. (55.9 cm); W. 10 in. (25.4 cm); Wt. 4 lbs. 13 oz. (2180 g),Shafted Weapons,36.78.1,"This artifact, named 'Halberd', was crafted using Steel, wood (ash). It originates from the German culture. This piece dates back to early 16th century. It belongs to the category of Shafted Weapons.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/30101/1438348/main-image,Authentic
Knife Handle (Kozuka),19th century,Japanese,"Copper-silver alloy (shibuichi), gold, copper, copper-gold alloy (shakudō)",L. 3 13/16 in. (9.7 cm); W. 9/16 in. (1.4 cm); thickness 1/4 in. (0.6 cm); Wt. 1.1 oz. (31.2 g),Sword Furniture-Kozuka,43.120.424,"Akozukais a handle of a by-knife that is part of a sword mounting. It is kept in a slot on the reverse of akatanascabbard, often with a matchingkōgai(hairdressing tool).",https://collectionapi.metmuseum.org/api/collection/v1/iiif/25313/1336484/restricted,Authentic
Design for the Decoration of Firearms,ca. 1797–1805,"French, Versailles","Pencil, ink, gray wash on paper",5 1/4 x 2 1/4 in. (13.3 x 5.7 cm),Works on Paper-Drawings,2004.101.60,"This artifact, named 'Design for the Decoration of Firearms', was crafted using Pencil, ink, gray wash on paper. It originates from the French, Versailles culture. This piece dates back to ca. 1797–1805. It belongs to the category of Works on Paper-Drawings.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/653019/1651048/main-image,Authentic
Short Sword and Scabbard,18th–19th century,Tibetan,"Iron, silver, turquoise, coral, wood, textile, leather",L. with scabbard 24 in. (61 cm); L. without scabbard 20 5/8 in. (52.4 cm); L. of blade 16 1/2 in. (41.9 cm); W. 1 3/4 in. (4.5 cm); Wt. 12.1 oz. (343 g); Wt. of scabbard 13 oz. (368.5 g),Swords,"36.25.1462a, b","This artifact, named 'Short Sword and Scabbard', was crafted using Iron, silver, turquoise, coral, wood, textile, leather. It originates from the Tibetan culture. This piece dates back to 18th–19th century. It belongs to the category of Swords.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/27781/58905/main-image,Authentic
Badge or Harness Pendant,ca. 1400,Spanish,"Copper, gold, enamel",H. 2 3/16 in. (5.6 cm); W. 1 3/4 in. (4.4 cm); Wt. 0.5 oz. (14.2 g),Miscellaneous-Badges,04.3.372,"Heraldry, or coat-of-arms, were vitally important in Europe throughout the Middle Ages and the Renaissance. Heraldic emblems were used to identify noble families, cities, regions, and even countries. In addition to being displayed on shields and flags, heraldry was incorporated into architectural decoration on the interior and the exterior of buildings, on furniture, works of art, clothing, and horse equipment. Harness pendants, like this example, would have been attached to a headstall, bridle, or other straps making up the tack of a horse ridden by a nobleman or noblewoman, or a member of their household. Many harness pendants also have decoration that is simply ornamental, or have symbols that are not specifically heraldic in nature.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/25492/1619868/main-image,Authentic
Sword Guard (Tsuba),19th century,Japanese,"Copper-silver alloy (shibuichi), gold, silver, brass, copper-gold alloy (shakudō), copper",H. 2 7/8 in. (7.3 cm); W. 2 5/8 in. (6.7 cm); thickness 3/16 in. (0.5 cm); Wt. 4.3 oz. (121.9 g),Sword Furniture-Tsuba,36.120.6,Atsubais a sword guard and part of a sword mounting. It is mounted between the sword’s blade and grip to protect the user’s hands.,https://collectionapi.metmuseum.org/api/collection/v1/iiif/30019/1341761/restricted,Authentic
Kris with Sheath,16th–19th century,Javanese,"Steel, wood, crystal, gold, silver",L. with sheath 18 1/2 in. (47 cm); L. without sheath 17 in. (43.2 cm); L. of blade 13 1/2 in. (34.2 cm); W. 3 1/8 in. (7.9 cm); Wt. 11 oz. (311.8 g); Wt. of sheath 6.4 oz. (181.4 g),Krisses,"36.25.1099a, b","This artifact, named 'Kris with Sheath', was crafted using Steel, wood, crystal, gold, silver. It originates from the Javanese culture. This piece dates back to 16th–19th century. It belongs to the category of Krisses.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/31492/2294226/main-image,Authentic
Brigandine Backplate,1400–1450,Italian,"Steel, textile (hemp)",H. 9 1/4 in. (23.5 cm); W. 7 in. (17.8 cm); Wt. 1 lb. 0.6 oz. (470.6 g),Armor Parts,29.150.97,"This is part of a large find of medieval armor discovered in 1840 in the ruins of the fortress of Chalcis, on the Greek island of Euboea (then a Venetian colony called Negroponte). The fortress had been captured and destroyed by the Turks in 1470. Now divided largely between the Ethnological Museum, Athens, and The Metropolitan Museum of Art, the Chalcis hoard contains many rare and unusual elements of fourteenth- and fifteenth-century armor. Of particular importance are the variety of headpieces and the many fragments of brigandines (armor for the torso constructed of small plates riveted to layers of fabric), some of which retain portions of their original velvet covering. The Chalcis armor provides a unique picture of the armament used in the Aegean, one of the easternmost military outposts of the Venetian empire.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/27666/1372827/main-image,Authentic
Capital (one of two),16th century,Italian,White marble,Overall: 3 1/2 × 4 3/4 in. (8.9 × 12.1 cm),Sculpture-Architectural,30.95.203,"This artifact, named 'Capital (one of two)', was crafted using White marble. It originates from the Italian culture. This piece dates back to 16th century. It belongs to the category of Sculpture-Architectural.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/196597/433783/main-image,Authentic
Candlestick (one of a pair),ca. 1660–80,"British, London","Brass, partly enameled, traces of gilding",Height: 10 1/8 in. (25.7 cm),Metalwork-Brass,68.141.323,"Although popularly known as Surrey enamel, this variety of champleve enameling was probably made in London.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/833988/1914904/main-image,Authentic
Teapot,ca. 1760,"British, Staffordshire",Lead-glazed earthenware,Height: 4 3/4 in. (12.1 cm),Ceramics-Pottery,"45.13.4a, b","This artifact, named 'Teapot', was crafted using Lead-glazed earthenware. It originates from the British, Staffordshire culture. This piece dates back to ca. 1760. It belongs to the category of Ceramics-Pottery.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/237855/1593040/restricted,Authentic
Ribbon,19th century,possibly French,Silk,L. 22 3/4 x W. 9 1/2 inches (57.8 x 24.1 cm),Textiles-Trimmings,36.90.1478,"This artifact, named 'Ribbon', was crafted using Silk. It originates from the possibly French culture. This piece dates back to 19th century. It belongs to the category of Textiles-Trimmings.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/224561/469544/main-image,Authentic
Piece,16th–17th century,Italian,Silk,L. 10 x W. 9 1/4 inches (25.4 x 23.5 cm),Textiles-Velvets,36.90.272,"This artifact, named 'Piece', was crafted using Silk. It originates from the Italian culture. This piece dates back to 16th–17th century. It belongs to the category of Textiles-Velvets.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/223373/442561/main-image,Authentic
Bowl,ca. 1700,"probably Dutch, Delft",Tin-glazed earthenware,Overall: 2 3/4 × 8 1/2 in. (7 × 21.6 cm),Ceramics-Pottery,38.73.4,"This artifact, named 'Bowl', was crafted using Tin-glazed earthenware. It originates from the probably Dutch, Delft culture. This piece dates back to ca. 1700. It belongs to the category of Ceramics-Pottery.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/198106/2071219/main-image,Authentic
Box,ca. 1800,"German, Stuttgart",Silver,"Overall: 4 1/2 × 9 × 4 1/2 in., 2.5lb. (11.4 × 22.9 × 11.4 cm, 1133.993g)",Metalwork-Silver,"2005.259.2a, b","These silver boxes, part of larger silver, presumably were used to keep sweets and other delicacies, as the handy form and tightly closing lids suggest. The ciphers below closed crowns belong to Charlotte Augusta Mathilde, queen of Wurttemberg  (1766-1828). The form mirrors the Neoclassical principles of German silver design towards a formal reduction of the shape and geometry. The daring juxtaposition of plain polished areas with matted ornamental applications has an astonishingly modern aesthetic.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/231240/468279/main-image,Authentic
Chalice veil,17th century,Italian,Cutwork,L. 19 x W. 17 inches48.3 x 43.2 cm,Textiles-Laces,06.553,"This artifact, named 'Chalice veil', was crafted using Cutwork. It originates from the Italian culture. This piece dates back to 17th century. It belongs to the category of Textiles-Laces.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/212774/446339/main-image,Authentic
Piece,19th century,German,Cotton,L. 3 3/8 x W. 6 3/8 inches (approx.)8.6 x 16.2 cm,Textiles-Printed,09.50.2906,"This artifact, named 'Piece', was crafted using Cotton. It originates from the German culture. This piece dates back to 19th century. It belongs to the category of Textiles-Printed.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/217496/440281/main-image,Authentic
Fragments,19th century,French,"Silks, satins, etc.",H. 10 × W. 10 in. (25.4 × 25.4 cm),Textiles-Woven,11.60.376,"This artifact, named 'Fragments', was crafted using Silks, satins, etc.. It originates from the French culture. This piece dates back to 19th century. It belongs to the category of Textiles-Woven.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/239388/492203/main-image,Authentic
Souvenir with portraits of a man and a woman,1780–90,French,"Gold, enamel, diamonds, pearls; ivory",3 7/16 × 2 1/4 in. (8.7 × 5.7 cm),Metalwork-Gold and Platinum,17.190.1347a–c,"In eighteenth-century Europe, Paris led the production of high-quality luxury goods. Parisian goldsmiths made a wide range of small, personal articles such as snuffboxes; étuis to hold sealing wax, tweezers, or utensils for sewing; souvenirs, which contained thin ivory tablets for note taking; and shuttles for knotting lace. Gold snuffboxes and boxes decorated with portrait miniatures were prized and frequently given as royal gifts, often to ambassadors or members of the court in lieu of cash payments for their services. Coveted and admired, these boxes were produced from a variety of materials. The best were skillfully made of gold and embellished with diamonds, enameled decoration, lacquer, and other luxurious materials. By the middle of the century, the taking of snuff had become an entrenched social ritual, and the snuffbox, too, had become an important social prop. Snuffboxes were considered highly fashionable accessories, with some merchants advertising new boxes with each change of season. The popularity of snuffboxes extended to all levels of society, and for those who could not afford gold, boxes were produced in less expensive materials such as silver, tortoiseshell, porcelain, or domestically produced lacquer.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/193973/434832/main-image,Authentic
Altar frontal,17th century,French or Italian,Beads and silk on linen,H. 30 x W. 49 1/2 inches (76.2 x 125.7 cm),Textiles-Embroidered,27.188.3,"This artifact, named 'Altar frontal', was crafted using Beads and silk on linen. It originates from the French or Italian culture. This piece dates back to 17th century. It belongs to the category of Textiles-Embroidered.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/222110/450976/main-image,Authentic
Man and woman standing near a tree,ca. 1830–40,"British, Staffordshire",Pottery,Height: 8 1/4 in. (21 cm),Ceramics-Pottery,12.60.3,"This artifact, named 'Man and woman standing near a tree', was crafted using Pottery. It originates from the British, Staffordshire culture. This piece dates back to ca. 1830–40. It belongs to the category of Ceramics-Pottery.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/191883/1613954/main-image,Authentic
Insertion,19th century,Hungarian-Slovak,"Silk, bobbin lace",L. 30 x W. 1/2 inches (76.2 x 1.3 cm),Textiles-Laces,08.48.96,"This artifact, named 'Insertion', was crafted using Silk, bobbin lace. It originates from the Hungarian-Slovak culture. This piece dates back to 19th century. It belongs to the category of Textiles-Laces.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/213427/438103/main-image,Authentic
"Brisé Fan, with Figures, Boats, and Pavilions",19th century,"Chinese, for the European Market",Horn and precious stones,7 1/8 x 12 1/2 in.  (18.1 x 31.8 cm),Fans,42.150.9,"This artifact, named 'Brisé Fan, with Figures, Boats, and Pavilions', was crafted using Horn and precious stones. It originates from the Chinese, for the European Market culture. This piece dates back to 19th century. It belongs to the category of Fans.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/209661/1670359/main-image,Authentic
Piece,16th–17th century,Italian,Silk,L. 4 x W. 3 inches (10.2 x 7.6 cm),Textiles-Velvets,36.90.383,"This artifact, named 'Piece', was crafted using Silk. It originates from the Italian culture. This piece dates back to 16th–17th century. It belongs to the category of Textiles-Velvets.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/223484/451410/main-image,Authentic
Fragment with Sempervivum tectorum motif,1475–1525,"Italian, probably Milan",Silk,Overall: 10 x 21 5/8 in. (25.4 x 54.9 cm),Textiles-Velvets,2002.494.291,"This artifact, named 'Fragment with Sempervivum tectorum motif', was crafted using Silk. It originates from the Italian, probably Milan culture. This piece dates back to 1475–1525. It belongs to the category of Textiles-Velvets.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/230313/486877/main-image,Authentic
Linen sheet,late 16th century,Italian,"Bobbin lace, needle lace, Genoese lace, reticella",L. 100 x W. 138 inches254.0 x 350.5 cm,Textiles-Laces,06.573,"This artifact, named 'Linen sheet', was crafted using Bobbin lace, needle lace, Genoese lace, reticella. It originates from the Italian culture. This piece dates back to late 16th century. It belongs to the category of Textiles-Laces.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/212794/470308/main-image,Authentic
Man with turban hat,18th–19th century,"Italian, Naples",Polychromed terracotta head; wooden limbs; body of wire wrapped in tow; various fabrics,H. 13 1/4 in. (33.7 cm.),Crèche,1972.282.5,"This artifact, named 'Man with turban hat', was crafted using Polychromed terracotta head; wooden limbs; body of wire wrapped in tow; various fabrics. It originates from the Italian, Naples culture. This piece dates back to 18th–19th century. It belongs to the category of Crèche.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/205491/1767469/main-image,Authentic
Piece,19th century,German,Cotton,L. 3 3/8 x W. 6 3/8 inches8.6 x 16.2 cm,Textiles-Printed,09.50.2833,"This artifact, named 'Piece', was crafted using Cotton. It originates from the German culture. This piece dates back to 19th century. It belongs to the category of Textiles-Printed.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/217423/440208/main-image,Authentic
Coconut cup,ca. 1650,"Hungarian, Nagyszeben","Gilded silver, coconut, turquoise",Height: 7 3/16 in. (18.3 cm),Metalwork-Silver,2010.110.82,"The hunting scene engraved on the lip may to refer to the cup’s use after hunting trips when a welcome drink was offered to the most prestigious guests. The decoration is inspired by Virgil Solis’s prints, which were available to craftsmen in pattern books. By adding the turquoises, the goldsmith catered to the local taste for the Ottoman. Marked coconut cups from the Hungarian/Transylvanian region are extremely rare. Of the twenty cups preserved at the Hungarian National Museum in Budapest only one is marked.LiteratureJudit H. Kolba.Hungarian Silver: The Nicolas M. Salgo Collection. London, 1996, p. 60, no. 38.ReferencesElemér Kőszeghy.Magyarországi ötvösjegyek a középkortól 1867-ig / Merkzeichen der Goldschmiede Ungarns vom Mittelalter bis 1867. Budapest, 1936, no. 1397 [maker’s mark].For a coconut cup formerly belonging to a Hungarian aristocratic family, see Judit H. Kolba and Annamária T. Németh.Schätze des Ungarischen Barock. Exh. cat. Deutsches Goldschmiedehaus Hanau. Hanau, 1991, no. 18, pp. 73–4.[Wolfram Koeppe 2015]",https://collectionapi.metmuseum.org/api/collection/v1/iiif/237226/1443341/main-image,Authentic
Tiles with the devices of Claude d'Urfé,ca. 1557–60,"French, Rouen",Faience (tin-glazed earthenware),H. 21 x W. 42-1/4 in.  (53.3 x 107.3 cm),Ceramics-Pottery,17.190.1954,"Faience, or tin-glazed and enameled earthenware, first emerged in France during the sixteenth century, reaching widespread usage among elite patrons during the seventeenth and early eighteenth centuries, prior to the establishment of soft-paste porcelain factories. Although characterized as more provincial in style than porcelain, French faience was used at the court of Louis XIV as part of elaborate meals and displays, with large-scale vessels incorporated into the Baroque garden designs of Versailles. Earlier examples of French faience attest to the strong influence of maiolica artists from Italy. Later works demonstrate the ways in which cities such as Nevers, Rouen, Lyon, Moustiers, and Marseille developed innovative vessel shapes and decorative motifs prized among collectors throughout Europe.While faience can be created from a wide mixture of clays, it is foremost distinguished by the milky opaque white color achieved by the addition of tin oxide to the glaze. French faience is typically divided into two types. Grand feu (high fire) describes pieces that have been decorated with glaze and metallic oxides before being fired a single time at a high temperature of around 1650°F (900°C). Petit feu (low-fire) faience, developed in the second half of the eighteenth century, refers to a process whereby the clay body is fired before being glazed and decorated with metallic oxides and then fired again at a lower temperature; pieces can also go through a third firing. Grand feu pieces have a more limited color palette that consists of blue, yellow, brown-purple, and green. By contrast, the lower firing temperature of petit feu faience enabled both greater precision in painting techniques and variety in the range of colors.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/194427/1741149/main-image,Authentic
Attendant with coffer,18th century,Southern German,Gouache on paper,Height (approximate): 4 in. (10.2 cm),Paper,64.164.352,"This artifact, named 'Attendant with coffer', was crafted using Gouache on paper. It originates from the Southern German culture. This piece dates back to 18th century. It belongs to the category of Paper.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/918064/2279467/main-image,Authentic
Stove tile,18th century,Russian,Glazed pottery,8 3/8 x 6 3/4 in.  (21.3 x 17.1 cm),Ceramics-Pottery,14.96.6,"This artifact, named 'Stove tile', was crafted using Glazed pottery. It originates from the Russian culture. This piece dates back to 18th century. It belongs to the category of Ceramics-Pottery.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/192924/394622/main-image,Authentic
Box,second quarter 16th century,"probably Northern Italian, Padua",Bronze,Overall: 3 × 7 3/4 × 4 1/8 in. (7.6 × 19.7 × 10.5 cm),Sculpture-Bronze,26.276.1,"This artifact, named 'Box', was crafted using Bronze. It originates from the probably Northern Italian, Padua culture. This piece dates back to second quarter 16th century. It belongs to the category of Sculpture-Bronze.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/195672/2047804/main-image,Authentic
Chessmen (32),second half 19th century,Indian,Wood,Height (king): 3 1/8 in. (7.9 cm),Chess Sets,"1998.369.1a–p, aa–pp","This artifact, named 'Chessmen (32)', was crafted using Wood. It originates from the Indian culture. This piece dates back to second half 19th century. It belongs to the category of Chess Sets.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/209326/2283189/main-image,Authentic
Relief section (one of a pair),early 16th century,"Italian, Cremona",Terracotta,H. 18 on. (45.7 cm.); W. 15-1/2 in. (39.4 cm.),Sculpture-Architectural,10.134.1,"This artifact, named 'Relief section (one of a pair)', was crafted using Terracotta. It originates from the Italian, Cremona culture. This piece dates back to early 16th century. It belongs to the category of Sculpture-Architectural.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/191588/393106/main-image,Authentic
Warren Hastings,late 18th century,"British, Etruria, Staffordshire",Jasperware,4 5/8 × 3 5/8 in. (11.7 × 9.2 cm),Ceramics-Pottery,42.76.31,"This artifact, named 'Warren Hastings', was crafted using Jasperware. It originates from the British, Etruria, Staffordshire culture. This piece dates back to late 18th century. It belongs to the category of Ceramics-Pottery.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/199098/1822461/restricted,Authentic
Strip,ca. 1600,possibly French,Needle lace,L. 20 x W. 4 inches (50.8 x 10.2 cm),Textiles-Laces,06.693.1,"This artifact, named 'Strip', was crafted using Needle lace. It originates from the possibly French culture. This piece dates back to ca. 1600. It belongs to the category of Textiles-Laces.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/212978/1753780/main-image,Authentic
Plate,1898 (?),"Russian, St. Petersburg",Hard-paste porcelain,Diameter: 9 9/16 in. (24.3 cm),Ceramics-Porcelain,1991.412.6,"This artifact, named 'Plate', was crafted using Hard-paste porcelain. It originates from the Russian, St. Petersburg culture. This piece dates back to 1898 (?). It belongs to the category of Ceramics-Porcelain.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/208041/420879/restricted,Authentic
Strip,19th century,French,Bobbin lace,L. 90 x W. 1 1/2 inches (228.6 x 3.8 cm),Textiles-Laces,09.68.306,"This artifact, named 'Strip', was crafted using Bobbin lace. It originates from the French culture. This piece dates back to 19th century. It belongs to the category of Textiles-Laces.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/218248/448508/main-image,Authentic
Portrait of a child,19th century,German,Wool on canvas,L. 16 3/4 x W. 19 inches (42.5 x 48.3 cm),Textiles-Embroidered,09.50.2756,"This artifact, named 'Portrait of a child', was crafted using Wool on canvas. It originates from the German culture. This piece dates back to 19th century. It belongs to the category of Textiles-Embroidered.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/217360/448246/main-image,Authentic
William IV with reverse of London Bridge,1831,British,Bronze,Diameter: 8 1/8 in. (206 mm),Medals and Plaquettes,2000.224.14,"This artifact, named 'William IV with reverse of London Bridge', was crafted using Bronze. It originates from the British culture. This piece dates back to 1831. It belongs to the category of Medals and Plaquettes.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/210250/426180/main-image,Authentic
Miniature chair (one of three) (part of a set),1675–1700,Southern German,Silver,2 × 1 × 7/8 in. (5.1 × 2.5 × 2.2 cm),Metalwork-Silver,31.37.8,"Part of set of silver miniature furniture, 31.37.1–.22, and a box, 31.37.23.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/196823/462946/main-image,Authentic
The Devotion of St. Bathilda,first quarter 17th century,"French, Limoges","Painted enamel on copper, partly gilt",5 1/16 × 4 1/8 in. (12.9 × 10.5 cm),Enamels,32.100.278,"This artifact, named 'The Devotion of St. Bathilda', was crafted using Painted enamel on copper, partly gilt. It originates from the French, Limoges culture. This piece dates back to first quarter 17th century. It belongs to the category of Enamels.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/197134/399072/main-image,Authentic
Tassel,18th–19th century,French,Metal thread,L. 7 5/8 inches19.4 cm,Textiles-Trimmings,08.103.39,"This artifact, named 'Tassel', was crafted using Metal thread. It originates from the French culture. This piece dates back to 18th–19th century. It belongs to the category of Textiles-Trimmings.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/213535/473442/main-image,Authentic
Plate (part of a set),ca. 1660–90,"Dutch, Delft",Tin-glazed earthenware,Diameter: 8 1/4 in. (21 cm),Ceramics-Pottery,1977.22.10,"The legends inscribed in the well of these plates (1977.22.5–.10) make one continuous verse. When read in numerical sequence, the inscription is: ""Clean plates and napkins/ tablecloths without stains/ full glasses and fine flutes/ make the stomach open/ but the mistress of the house who is joyful/ makes the real happiness of the table"".",https://collectionapi.metmuseum.org/api/collection/v1/iiif/208888/416795/main-image,Authentic
Fragment,18th century,"Italian, Milan",Bobbin lace,L. 12 x W. 3 1/4 inches (30.5 x 8.3 cm),Textiles-Laces,08.180.550,"This artifact, named 'Fragment', was crafted using Bobbin lace. It originates from the Italian, Milan culture. This piece dates back to 18th century. It belongs to the category of Textiles-Laces.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/214900/439125/main-image,Authentic
Terracotta bust of a female figure,6th–5th century BCE,"Greek, Cretan",Terracotta,3 1/8 in. x 2 in. (7.9 cm x 5 cm),Terracottas,53.5.32,"The figure wears a headdress, large earrings, and a garment whose folds emphasize her breasts. The type is Oriental in origin but enjoyed a long life in various manifestations throughout the Greek world.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/254757/532700/main-image,Authentic
Rattle in the form of a poppy pod,6th century BCE,Greek,Gold,Diameter: 7/8 × 4 1/2 in. (2.2 × 11.4 cm),Gold and Silver,1992.266.14,"This artifact, named 'Rattle in the form of a poppy pod', was crafted using Gold. It originates from the Greek culture. This piece dates back to 6th century BCE. It belongs to the category of Gold and Silver.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/256151/1442723/main-image,Authentic
Whorl,7th–6th century BCE,Etruscan,Amber,Diameter: 1 5/16 x 7/16 in. (3.3 x 1.2 cm),Miscellaneous-Amber,96.9.534,Fragment of a whorl.,https://collectionapi.metmuseum.org/api/collection/v1/iiif/246529/527613/main-image,Authentic
Glass mosaic base ring fragment,late 1st century BCE–early 1st century CE,Roman,Glass; cast,1/8 × 1 15/16 × 3/16 in. (0.3 × 4.9 × 0.5 cm)Estimated diameter 2 15/16 in. (7.4 cm),Glass,17.194.396.95,"Base ring, probably from a deep ribbed bowl.Translucent cobalt blue and opaque white.Tall, outsplayed base ring with rounded edge; almost straight side, sloping in upward; made separately and attached to bottom of the bowl.Marbled mosaic pattern with sections of a single cane in a blue ground with irregular white splashes.Interior polished; some pitting and weathering on interior; dulling and patches of iridescent weathering on exterior; weathering on jagged edges.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/757841/1703314/restricted,Authentic
Carnelian ring stone,1st century BCE–3rd century CE,Roman,Carnelian,Length: 9/16 in. (1.5 cm),Gems,41.160.702,Muse seated on a cippus (tomb marker) holding a mask.,https://collectionapi.metmuseum.org/api/collection/v1/iiif/253825/535834/main-image,Authentic
Kylix fragment,ca. 470 BCE,"Greek, Attic",Terracotta; red-figure,3 5/8 × 7 5/16 × 1/4 in. (9.2 × 18.6 × 0.7 cm),Vases,1972.257,"Interior, legs of a man; exterior, A, woman between man and boy",https://collectionapi.metmuseum.org/api/collection/v1/iiif/255497/2019912/main-image,Authentic
Glass bottle,5th century CE or later,Roman,Glass; blown and trailed,H.: 9 9/16 in. (24.3 cm),Glass,91.1.1307,"Translucent pale blue green; trails in same color.Everted rim, folded over and in; cylindrical neck, tapering downwards with horizontal indent at base; broad, sloping shoulder with rounded, slightly bulging outer edge; cylindrical body with sides tapering downwards; deep pushed-in bottom.On neck, one fine trail, applied as an elongated pad and wound twice round as two parallel lines; a second trail, farther down neck, wound round as one thicker overlapping line.Intact; a few bubbles and black impurities, especially in neck and rim, and numerous surface scratches of exterior of shoulder and side; some dulling, soil encrustation, brownish weathering, and iridescence.Tall, with threads on neck.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/245695/534351/main-image,Authentic
